time,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
2018-01-01 00:00:00,27.67,27.82,27.68,27.72,27.72,27.72,26.02,27.85
2018-01-01 00:15:00,27.67,27.82,27.69,27.72,27.72,27.72,26.01,27.85
2018-01-01 00:30:00,27.45,27.59,27.46,27.49,27.5,27.5,25.77,27.62
2018-01-01 00:45:00,27.41,27.54,27.45,27.46,27.45,27.45,25.83,27.56
2018-01-01 01:00:00,27.47,46.67,27.61,27.58,27.81,27.82,36.3,28.36
2018-01-01 01:15:00,27.71,28.57,27.83,27.74,27.74,27.74,27.29,27.74
2018-01-01 01:30:00,27.59,27.6,27.72,27.63,27.64,27.64,26.72,27.59
2018-01-01 01:45:00,27.51,27.51,27.63,27.54,27.57,27.58,26.62,27.51
2018-01-01 02:00:00,27.31,27.32,27.44,27.35,27.38,27.38,26.41,27.31
2018-01-01 02:15:00,27.4,27.41,27.53,27.44,27.47,27.47,26.51,27.4
2018-01-01 02:30:00,27.49,27.49,27.62,27.53,27.56,27.56,26.58,27.49
2018-01-01 02:45:00,27.44,27.45,27.57,27.48,27.51,27.52,26.53,27.45
2018-01-01 03:00:00,27.73,28.12,27.96,27.89,27.96,27.97,29.15,28.12
2018-01-01 03:15:00,27.79,27.79,27.91,27.82,27.86,27.86,26.91,27.8
2018-01-01 03:30:00,27.68,27.66,27.76,27.69,27.71,27.71,26.94,27.67
2018-01-01 03:45:00,28.23,28.23,28.25,28.24,28.24,28.24,28.06,28.23
2018-01-01 04:00:00,27.42,27.48,27.38,27.43,27.41,27.41,27.24,27.41
2018-01-01 04:15:00,28.43,28.68,28.2,28.48,28.35,28.35,27.57,28.38
2018-01-01 04:30:00,29.13,29.43,28.87,29.19,29.04,29.04,28.12,29.07
2018-01-01 04:45:00,30.52,31.02,30.07,30.62,30.36,30.36,28.78,30.41
2018-01-01 05:00:00,30.34,48.75,29.95,30.52,30.51,30.52,38.07,31.1
2018-01-01 05:15:00,31.88,33.51,31.36,32.15,31.82,31.82,31.8,32.1
2018-01-01 05:30:00,31.93,32.74,31.37,32.12,31.78,31.78,30.43,31.93
2018-01-01 05:45:00,31.78,69.86,31.37,32.24,32.42,32.46,50.93,33.87
2018-01-01 06:00:00,32.36,88.72,32.28,32.65,33.38,33.41,60.69,35.09
2018-01-01 06:15:00,32.69,89.82,32.61,33.19,34.22,34.3,63.28,37.03
2018-01-01 06:30:00,33.1,91.77,32.73,34.01,34.4,34.46,66.78,37.01
2018-01-01 06:45:00,32.82,91.02,33.31,33.59,34.46,34.53,70.68,37.05
2018-01-01 07:00:00,32.28,90.22,32.1,33.07,34.11,34.19,65.54,37.51
2018-01-01 07:15:00,31.97,89.39,32.14,32.72,34.23,34.33,66.67,38.13
2018-01-01 07:30:00,32.74,89.55,32.6,33.09,33.84,33.88,60.91,35.73
2018-01-01 07:45:00,33.08,91.03,32.25,33.94,44.08,68.9,69.92,41.56
2018-01-01 08:00:00,33.7,90.56,32.08,34.61,53.09,92.46,67.56,49.2
